Bedroom AbvGr,Bsmt Qual_Fa,Bsmt Qual_Gd,Bsmt Qual_None,Bsmt Qual_Po,Bsmt Qual_TA,BsmtExposureEnc,BsmtFin Type 1_BLQ,BsmtFin Type 1_GLQ,BsmtFin Type 1_LwQ,BsmtFin Type 1_None,BsmtFin Type 1_Rec,BsmtFin Type 1_Unf,Central Air_Y,Exter Qual_Fa,Exter Qual_Gd,Exter Qual_TA,Exterior1stEnc,Exterior2Enc,Fireplace Qu_Fa,Fireplace Qu_Gd,Fireplace Qu_None,Fireplace Qu_Po,Fireplace Qu_TA,Fireplaces,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Garage Area,Garage Finish_None,Garage Finish_RFn,Garage Finish_Unf,Garage Yr Blt,GarageQualEnc,GarageTypeEnc,Gr Liv Area,Heating QC_Fa,Heating QC_Gd,Heating QC_Po,Heating QC_TA,Id,Kitchen AbvGr,Kitchen Qual_Fa,Kitchen Qual_Gd,Kitchen Qual_Po,Kitchen Qual_TA,Lot Area,Lot Frontage,Lot Shape_IR2,Lot Shape_IR3,Lot Shape_Reg,Low Qual Fin SF,MS SubClass,MSzoningEnc,Mas Vnr Area,Mas Vnr Type_BrkFace,Mas Vnr Type_CBlock,Mas Vnr Type_None,Mas Vnr Type_Stone,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Overall Qual,PID,PavedDriveEnc,SalePrice,SaleTypeEnc,TotRms AbvGrd,Total Bsmt SF,TotalBath,TotalPorch,TotalSF,Year Built,Year Remod/Add
2,0,0,0,0,1,1.0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,264.0,0,0,1,1971.0,1.0,0.0,987,0,0,0,1,1044,1,0,0,0,1,1680,21.0,0,0,1,0,160,0.0,232.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,527451290,1.0,11.355101379776661,0.0,4,483.0,1.5,0,1470.0,1971,1971
2,0,1,0,0,0,0.0,0,1,0,0,0,0,1,0,1,0,1.0,1.0,0,0,1,0,0,0,0,1,0,0,0,632.0,0,1,0,2005.0,1.0,1.0,1208,0,0,0,0,2752,1,0,1,0,0,7488,64.0,0,0,0,0,20,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,906380150,1.0,12.120514757168527,1.0,6,1208.0,2.0,163,2416.0,2005,2005
4,0,0,1,0,0,0.0,0,0,0,1,0,0,1,0,1,0,0.0,0.0,0,0,0,0,1,1,0,1,0,0,0,576.0,0,0,1,1900.0,1.0,1.0,2016,0,0,0,0,807,1,0,0,0,1,26400,120.0,0,0,1,0,70,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,906226060,0.0,11.782952602183288,1.0,7,0.0,1.0,0,2016.0,1880,2007
3,0,1,0,0,0,1.0,0,1,0,0,0,0,1,0,1,0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,480.0,0,0,1,2000.0,1.0,0.0,1607,0,0,0,0,1177,1,0,1,0,0,2645,24.0,0,0,1,0,160,0.0,456.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,533236070,1.0,12.206072645530174,0.0,7,960.0,3.5,169,2567.0,1999,2000
3,0,1,0,0,0,0.0,0,1,0,0,0,0,1,0,1,0,1.0,1.0,0,0,1,0,0,0,0,1,0,0,0,610.0,0,1,0,2007.0,1.0,1.0,1361,0,0,0,0,1480,1,0,1,0,0,9627,74.0,0,0,1,0,20,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,907418040,1.0,12.170445467887022,1.0,6,1351.0,2.0,50,2712.0,2007,2007
3,0,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,1,1.0,1.0,0,0,1,0,0,0,0,1,0,0,0,624.0,0,1,0,2004.0,1.0,1.0,1430,0,0,0,0,324,1,0,1,0,0,10114,93.0,0,0,1,0,20,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,923202105,1.0,12.063932878369052,1.0,7,1430.0,2.0,0,2860.0,2004,2005
4,0,0,0,0,1,1.0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,513.0,0,0,1,1916.0,0.0,0.0,1344,1,0,0,0,1311,1,0,0,0,1,4571,34.0,0,0,1,0,70,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,902301140,1.0,11.49272275765271,0.0,7,624.0,1.0,96,1968.0,1916,1950
3,0,0,0,0,1,1.0,0,0,0,0,1,0,1,0,0,1,1.0,1.0,0,0,1,0,0,0,0,1,0,0,0,480.0,0,0,1,1963.0,1.0,0.0,1121,0,0,0,1,770,1,0,0,0,1,8816,80.0,0,0,1,0,20,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,905101490,1.0,11.842229212112828,1.0,5,1121.0,2.0,80,2242.0,1963,1963
3,0,0,0,0,1,1.0,0,0,0,0,0,1,1,0,0,1,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,528.0,0,1,0,1977.0,1.0,1.0,1285,0,0,0,0,2063,1,0,0,0,1,8197,71.0,0,0,1,0,20,1.0,148.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,905107140,1.0,11.874090314181814,1.0,7,660.0,1.5,138,1945.0,1977,1977
3,0,1,0,0,0,0.0,0,1,0,0,0,0,1,0,0,1,1.0,1.0,0,0,1,0,0,0,0,1,0,0,0,614.0,0,0,1,2009.0,1.0,1.0,1547,0,0,0,0,69,1,0,1,0,0,8640,72.0,0,0,1,0,60,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,528458070,1.0,12.279323107269766,0.0,7,756.0,2.5,214,2303.0,2009,2009
3,0,1,0,0,0,1.0,1,0,0,0,0,0,1,0,0,1,1.0,1.0,0,0,0,1,0,1,1,0,0,0,0,450.0,0,0,0,1968.0,1.0,1.0,894,0,1,0,0,2062,1,0,0,0,1,8724,109.0,0,0,1,0,20,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,905106150,1.0,11.76756768334381,1.0,5,894.0,1.0,0,1788.0,1968,1968
2,0,1,0,0,0,1.0,0,1,0,0,0,0,1,0,1,0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,499.0,0,0,0,2000.0,1.0,1.0,1659,0,0,0,0,351,1,0,0,0,0,5664,40.0,0,0,0,0,120,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,527131030,1.0,12.535376392672774,1.0,5,1501.0,3.0,271,3160.0,2000,2000
3,0,0,0,0,0,0.0,0,0,0,0,0,1,1,0,1,0,0.0,0.0,0,1,0,0,0,1,0,1,0,0,0,575.0,0,0,0,2005.0,1.0,1.0,2253,0,0,0,0,2393,1,0,0,0,0,12867,103.0,0,0,0,0,60,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,528142010,1.0,12.748783489541202,0.0,8,1209.0,2.5,385,3462.0,2005,2006
3,0,1,0,0,0,1.0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,420.0,0,0,0,1992.0,1.0,1.0,1187,0,0,0,0,12,1,0,0,0,1,7980,63.0,0,0,0,0,20,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,527165230,1.0,12.128111104060462,1.0,6,1168.0,3.0,504,2355.0,1992,2007
3,0,0,0,0,1,0.0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,572.0,0,0,0,1955.0,1.0,1.0,1056,0,0,0,1,2339,1,0,0,0,1,34650,100.0,0,0,1,0,190,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,527250040,1.0,11.884489021402711,1.0,5,1056.0,2.0,264,2112.0,1955,1955
3,0,0,0,0,1,1.0,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,530.0,0,1,0,1961.0,1.0,1.0,1453,0,0,0,0,624,1,0,0,0,1,10573,92.0,0,0,0,0,20,1.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,535104120,1.0,12.141534124392603,1.0,6,1453.0,3.0,337,2906.0,1961,1961
3,0,0,0,0,1,1.0,0,1,0,0,0,0,1,0,0,1,0.0,0.0,0,1,0,0,0,1,1,0,0,0,0,336.0,0,0,1,1973.0,1.0,0.0,894,0,0,0,0,86,1,0,0,0,1,8450,65.0,0,0,1,0,20,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,532376160,1.0,11.83862560460953,1.0,5,894.0,2.0,560,1788.0,1965,2009
4,0,0,0,0,1,1.0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,0,1,0,0,0,1,1,0,0,0,0,240.0,0,0,1,1937.0,1.0,0.0,1938,0,0,0,0,1534,1,0,1,0,0,11700,64.0,0,0,0,0,50,1.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,909277040,1.0,12.196022309676673,1.0,7,942.0,2.0,40,2880.0,1937,1995
4,0,0,0,0,1,1.0,0,0,0,0,0,1,0,0,0,1,1.0,1.0,0,0,1,0,0,0,1,0,0,0,0,0.0,1,0,0,0.0,0.0,0.0,1991,1,0,0,0,2243,2,0,0,0,1,8250,75.0,0,0,1,0,190,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,911103060,0.0,11.691908120498669,1.0,9,957.0,2.0,133,2948.0,1895,2006
3,0,0,0,0,1,0.0,0,0,0,0,0,1,1,0,0,1,0.0,0.0,0,0,0,1,0,1,1,0,0,0,0,576.0,0,0,1,2003.0,1.0,0.0,924,0,0,0,0,1957,1,0,0,0,1,8064,60.0,0,0,1,0,50,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,535450190,1.0,11.719126295554126,1.0,6,672.0,1.0,0,1596.0,1949,2006
4,0,1,0,0,0,1.0,0,0,0,0,0,0,1,0,1,0,0.0,0.0,0,1,0,0,0,1,0,1,0,0,0,542.0,0,0,0,1981.0,1.0,1.0,2524,0,0,0,1,380,1,0,1,0,0,9600,80.0,0,0,1,0,20,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,527355150,1.0,12.535376392672774,1.0,9,2524.0,3.5,594,5048.0,1981,1981
3,0,1,0,0,0,1.0,0,0,0,0,0,1,1,0,0,1,0.0,0.0,0,1,0,0,0,2,0,1,0,0,0,400.0,0,0,1,1931.0,1.0,0.0,1517,1,0,0,0,2860,1,0,1,0,0,11435,64.0,0,0,0,0,70,1.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,909276010,1.0,12.345834587905333,1.0,7,792.0,1.0,0,2309.0,1929,1950
2,0,1,0,0,0,0.0,0,0,1,0,0,0,1,0,1,0,0.0,0.0,0,1,0,0,0,1,0,1,0,0,0,481.0,0,0,0,1995.0,1.0,1.0,1494,0,0,0,0,2517,1,0,0,0,0,9549,30.0,0,0,0,0,120,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,533250130,1.0,12.506177237980511,1.0,6,1494.0,2.5,246,2988.0,1995,1996
2,0,0,0,0,1,1.0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,410.0,0,0,1,1952.0,1.0,0.0,948,0,0,0,1,1933,1,0,0,0,1,10950,60.0,0,0,1,0,20,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,535302070,0.0,11.736069016284437,1.0,5,948.0,1.0,48,1896.0,1952,1952
3,0,0,0,0,0,0.0,0,1,0,0,0,0,1,0,1,0,1.0,1.0,0,1,0,0,0,1,0,1,0,0,0,826.0,0,1,0,2007.0,1.0,1.0,1718,0,0,0,0,820,1,0,1,0,0,10637,79.0,0,0,1,0,20,1.0,336.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,906340110,1.0,12.601487417784837,1.0,7,1705.0,3.0,252,3423.0,2007,2008
2,0,1,0,0,0,0.0,0,0,0,0,0,1,1,0,0,1,0.0,0.0,0,1,0,0,0,1,1,0,0,0,0,384.0,0,1,0,1958.0,1.0,0.0,1142,1,0,0,0,675,1,0,0,0,1,9000,80.0,0,0,0,0,20,1.0,82.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,535426150,1.0,11.639558115903595,1.0,5,160.0,1.0,92,1302.0,1958,1958
4,0,0,0,0,1,1.0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0,0,0,0,1,1,0,1,0,0,0,336.0,0,1,0,1977.0,1.0,1.0,1475,0,0,0,0,2910,1,0,0,0,1,2665,41.0,0,0,1,0,160,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,923225240,1.0,11.751942365440728,1.0,6,757.0,2.0,130,2232.0,1977,1977
3,0,1,0,0,0,1.0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,546.0,0,1,0,1977.0,1.0,1.0,1844,0,0,0,0,21,1,0,0,0,1,11751,105.0,0,0,0,0,20,1.0,480.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,527358140,1.0,12.154779351142624,0.0,7,1844.0,2.0,122,3688.0,1977,1977
3,0,0,0,0,1,1.0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,528.0,0,0,1,1973.0,1.0,1.0,1242,1,0,0,0,1873,1,0,0,0,1,9600,80.0,0,0,1,0,20,1.0,320.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,534177210,1.0,12.075394321888057,1.0,6,1242.0,1.5,0,2484.0,1973,1973
3,0,1,0,0,0,1.0,0,1,0,0,0,0,1,0,0,1,1.0,1.0,0,0,1,0,0,0,0,1,0,0,0,384.0,0,0,1,1995.0,1.0,0.0,990,0,0,0,0,2125,1,0,0,0,1,8428,60.0,1,0,0,0,20,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,907135050,1.0,11.891361900690473,1.0,5,990.0,2.0,256,1980.0,1994,1994
3,0,0,0,0,1,1.0,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,276.0,0,0,0,1965.0,1.0,1.0,1256,0,1,0,0,1489,1,0,0,0,1,9937,75.0,0,0,1,0,20,1.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,908102260,1.0,11.901583454762012,1.0,6,1256.0,2.5,804,2512.0,1965,1965
2,0,0,0,0,0,0.0,0,1,0,0,0,0,1,0,0,0,1.0,1.0,0,1,0,0,0,1,0,1,0,0,0,850.0,0,0,0,2006.0,1.0,1.0,2076,0,0,0,0,2383,1,0,0,0,0,13891,107.0,0,0,1,0,20,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,528110050,1.0,13.049792684569493,0.0,7,2076.0,3.5,445,4152.0,2006,2006
1,0,1,0,0,0,0.0,0,1,0,0,0,0,1,0,0,1,0.0,0.0,0,0,0,0,1,1,0,1,0,0,0,602.0,0,0,0,1978.0,1.0,1.0,1110,0,0,0,0,983,1,0,1,0,0,9101,74.0,0,0,0,0,85,1.0,104.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,923275040,1.0,12.016726473799254,1.0,4,1097.0,2.0,333,2207.0,1978,1978
4,0,0,0,0,1,1.0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,352.0,0,0,1,1954.0,0.0,1.0,1795,0,0,0,0,1325,1,0,0,0,1,12150,81.0,0,0,1,0,50,0.0,335.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,902406090,1.0,11.786762130599957,1.0,7,1050.0,2.0,0,2845.0,1954,1954
3,0,0,0,0,1,1.0,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,384.0,0,0,1,1965.0,1.0,0.0,1040,0,0,0,0,1378,1,0,0,0,1,11200,70.0,0,0,1,0,20,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,905102170,1.0,11.771436160121729,1.0,5,1040.0,2.0,0,2080.0,1965,1965
4,0,0,0,0,1,1.0,0,0,1,0,0,0,1,0,0,1,0.0,0.0,0,1,0,0,0,2,0,1,0,0,0,786.0,0,0,0,1935.0,0.0,0.0,1873,0,0,0,1,1537,1,0,0,0,1,9670,100.0,0,0,0,0,70,1.0,40.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,909281110,1.0,12.45712704000522,1.0,9,608.0,1.5,207,2481.0,1935,1950
3,0,0,0,0,1,1.0,0,0,1,0,0,0,1,0,0,1,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,660.0,0,0,1,1977.0,1.0,0.0,1604,0,0,0,0,905,1,0,0,0,1,10998,60.0,0,0,1,0,50,1.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,909101140,1.0,11.669929213779893,1.0,6,984.0,2.0,68,2588.0,1941,1960
3,0,1,0,0,0,1.0,0,0,0,0,0,1,1,0,0,1,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,270.0,0,1,0,1931.0,1.0,1.0,1502,0,0,0,1,1532,1,0,0,0,1,7200,60.0,0,0,1,0,70,1.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,909275050,0.0,11.911701584927597,1.0,6,776.0,1.5,112,2278.0,1931,2000
3,0,0,0,0,1,1.0,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,280.0,0,1,0,1954.0,1.0,1.0,1063,0,0,0,1,132,1,0,0,0,1,9920,80.0,0,0,1,0,20,1.0,110.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,534475100,1.0,11.759785542901755,1.0,6,1056.0,2.0,164,2119.0,1954,1954
